Listing Id 1,Listing Id 2
6005572,6350952
6005572,IR978174
6005572,3287108
6005572,4501385
6005572,5965894
6005572,4868629
6005572,6680808
6005572,1957163
6005572,8572961
6005572,IR979306
6005572,6552595
6005572,5235457
6005572,9825943
6005572,6455053
6005572,2142216
6005572,4717418
6005572,5727719
6005572,3792339
6005572,1576381
6005572,9028170
6005572,6138728
6005572,2160665
6005572,7101369
6005572,6835475
6005572,5261611
6005572,3867861
6005572,3183081
6005572,7239080
6005572,4832495
6005572,IR979397
6005572,7385129
6005572,3313655
6005572,7530305
6005572,8527916
6005572,3234843
6005572,9789804
6005572,7241934
6005572,8308659
6005572,8966609
6005572,IR956400
6005572,3929459
6005572,8660285
6005572,8383513
6005572,5730705
6005572,IR955847
6005572,3714339
6005572,7821402
6005572,6719949
6005572,5888410
6005572,2269467
6005572,5689489
6005572,IR957161
6005572,5960390
6005572,1957981
6005572,8496305
6005572,1857476
6005572,6321775
6005572,8239606
6005572,7531066
6005572,2858375
6005572,IR956142
6005572,1514568
6005572,5450957
6005572,6222411
6005572,2272846
6005572,4478531
6005572,9800225
6005572,1920110
6005572,6604492
6005572,7621259
6005572,2554608
6005572,5568598
6005572,IR957498
6005572,7592535
6005572,9855052
6005572,7372725
6005572,1689973
6005572,4400621
6005572,5743027
6005572,4083831
6005572,4128049
6005572,2858719
6005572,3614088
6005572,6582490
6005572,9032924
6005572,7785361
6005572,IR958476
6005572,3106109
6005572,2417505
6005572,7690104
6005572,9623639
6005572,7239634
6005572,2057640
6005572,6504391
6005572,4094648
6005572,7029472
6005572,3454886
6005572,5477177
6005572,7797453
6005572,2937443
6005572,IR960086
6005572,6329970
6005572,4737519
6005572,9416095
6005572,4428336
6005572,5829037
6005572,9305685
6005572,IR960969
6005572,7544212
6005572,2664432
6005572,3803356
6005572,8671908
6005572,2077952
6005572,5110070
6005572,9730226
6005572,4685315
6005572,5193954
6005572,9152759
6005572,4820257
6005572,IR961487
6005572,7327211
6005572,3865941
6005572,6135593
6005572,6339702
6005572,4252235
6005572,2941353
6005572,2480503
6005572,7398046
6005572,7875085
6005572,1500848
6005572,8236453
6005572,2956955
6005572,7281594
6005572,6655947
6005572,9965364
6005572,3780610
6005572,2748060
6005572,9308837
6005572,9332346
6005572,9007173
6005572,7739537
6005572,3258821
6005572,IR962699
6005572,3837465
6005572,3177446
6005572,6894963
6005572,2818530
6005572,8014499
6005572,8366332
6005572,2564246
6005572,3909585
6005572,4702769
6005572,7406505
6005572,1818513
6005572,3267572
6005572,2456427
6005572,7672518
6005572,1505114
6005572,IR959771
6005572,3692317
6005572,3287735
6005572,4702539
6005572,8971440
6005572,7191062
6005572,3399550
6005572,3514617
6005572,7479660
6005572,4924481
6005572,3147619
6005572,7767747
6005572,3210187
6005572,9931895
6005572,6066497
6005572,1827159
6005572,IR965801
6005572,8980826
6005572,7562700
6005572,6360923
6005572,1610831
6005572,3580806
6005572,2604145
6005572,6822972
6005572,9196092
6005572,6871117
6005572,3227917
6005572,4805403
6005572,9447739
6005572,5862741
6005572,IR967024
6005572,9747735
6005572,8665499
6005572,4533182
6005572,2777186
6005572,5893753
6005572,8843102
6005572,6175019
6005572,3326415
6005572,9861262
6005572,6451879
6005572,5161785
6005572,7182933
6005572,8374785
6005572,6822791
6005572,3375086
6005572,8577349
6005572,9935626
6005572,2161020
6005572,IR967360
6005572,5258069
6005572,6379199
6005572,IR971782
6005572,2432296
6005572,6047783
6005572,3680253
6005572,6933938
6005572,5045231
6005572,5436375
6005572,8165164
6005572,7737757
6005572,4813491
6005572,3716150
6005572,7817574
6005572,9695808
6005572,9932302
6005572,4532874
6005572,4677583
6005572,4571269
6005572,IR967840
6005572,IR973035
6005572,2376650
6005572,8185679
6005572,3505430
6005572,4344425
6005572,9640689
6005572,4833621
6005572,IR973724
6005572,3744427
6005572,6478272
6005572,6820887
6005572,IR972958
6005572,5917917
6005572,5329736
6005572,3491907
6005572,1518868
6005572,9162944
6005572,IR972932
6005572,8796724
6005572,6114754
6005572,5380905
6005572,8886751
6005572,9327237
6005572,2107349
6005572,6242084
6005572,9782112
6005572,5257790
6005572,9271341
6005572,6964114
6005572,8127919
6005572,1654217
6005572,2671963
6005572,9525006
6005572,1998529
6005572,7508552
6005572,IR971875
6005572,7544812
6005572,2935462
6005572,4270571
6005572,6143378
6005572,3143503
6005572,3604680
6005572,7686758
6005572,9458357
6005572,2345686
6005572,7518097
6005572,4282893
6005572,6273108
6005572,4866068
6350952,IR978174
6350952,3287108
6350952,4501385
6350952,5965894
6350952,4868629
6350952,6680808
6350952,1957163
6350952,8572961
6350952,IR979306
6350952,6552595
6350952,5235457
6350952,9825943
6350952,6455053
6350952,2142216
6350952,4717418
6350952,5727719
6350952,3792339
6350952,1576381
6350952,9028170
6350952,6138728
6350952,2160665
6350952,7101369
6350952,6835475
6350952,5261611
6350952,3867861
6350952,3183081
6350952,7239080
6350952,4832495
6350952,IR979397
6350952,7385129
6350952,3313655
6350952,7530305
6350952,8527916
6350952,3234843
6350952,9789804
6350952,7241934
6350952,8308659
6350952,8966609
6350952,IR956400
6350952,3929459
6350952,8660285
6350952,8383513
6350952,5730705
6350952,IR955847
6350952,3714339
6350952,7821402
6350952,6719949
6350952,5888410
6350952,2269467
6350952,5689489
6350952,IR957161
6350952,5960390
6350952,1957981
6350952,8496305
6350952,1857476
6350952,6321775
6350952,8239606
6350952,7531066
6350952,2858375
6350952,IR956142
6350952,1514568
6350952,5450957
6350952,6222411
6350952,2272846
6350952,4478531
6350952,9800225
6350952,1920110
6350952,6604492
6350952,7621259
6350952,2554608
6350952,5568598
6350952,IR957498
6350952,7592535
6350952,9855052
6350952,7372725
6350952,1689973
6350952,4400621
6350952,5743027
6350952,4083831
6350952,4128049
6350952,2858719
6350952,3614088
6350952,6582490
6350952,9032924
6350952,7785361
6350952,IR958476
6350952,3106109
6350952,2417505
6350952,7690104
6350952,9623639
6350952,7239634
6350952,2057640
6350952,6504391
6350952,4094648
6350952,7029472
6350952,3454886
6350952,5477177
6350952,7797453
6350952,2937443
6350952,IR960086
6350952,6329970
6350952,4737519
6350952,9416095
6350952,4428336
6350952,5829037
6350952,9305685
6350952,IR960969
6350952,7544212
6350952,2664432
6350952,3803356
6350952,8671908
6350952,2077952
6350952,5110070
6350952,9730226
6350952,4685315
6350952,5193954
6350952,9152759
6350952,4820257
6350952,IR961487
6350952,7327211
6350952,3865941
6350952,6135593
6350952,6339702
6350952,4252235
6350952,2941353
6350952,2480503
6350952,7398046
6350952,7875085
6350952,1500848
6350952,8236453
6350952,2956955
6350952,7281594
6350952,6655947
6350952,9965364
6350952,3780610
6350952,2748060
6350952,9308837
6350952,9332346
6350952,9007173
6350952,7739537
6350952,3258821
6350952,IR962699
6350952,3837465
6350952,3177446
6350952,6894963
6350952,2818530
6350952,8014499
6350952,8366332
6350952,2564246
6350952,3909585
6350952,4702769
6350952,7406505
6350952,1818513
6350952,3267572
6350952,2456427
6350952,7672518
6350952,1505114
6350952,IR959771
6350952,3692317
6350952,3287735
6350952,4702539
6350952,8971440
6350952,7191062
6350952,3399550
6350952,3514617
6350952,7479660
6350952,4924481
6350952,3147619
6350952,7767747
6350952,3210187
6350952,9931895
6350952,6066497
6350952,1827159
6350952,IR965801
6350952,8980826
6350952,7562700
6350952,6360923
6350952,1610831
6350952,3580806
6350952,2604145
6350952,6822972
6350952,9196092
6350952,6871117
6350952,3227917
6350952,4805403
6350952,9447739
6350952,5862741
6350952,IR967024
6350952,9747735
6350952,8665499
6350952,4533182
6350952,2777186
6350952,5893753
6350952,8843102
6350952,6175019
6350952,3326415
6350952,9861262
6350952,6451879
6350952,5161785
6350952,7182933
6350952,8374785
6350952,6822791
6350952,3375086
6350952,8577349
6350952,9935626
6350952,2161020
6350952,IR967360
6350952,5258069
6350952,6379199
6350952,IR971782
6350952,2432296
6350952,6047783
6350952,3680253
6350952,6933938
6350952,5045231
6350952,5436375
6350952,8165164
6350952,7737757
6350952,4813491
6350952,3716150
6350952,7817574
6350952,9695808
6350952,9932302
6350952,4532874
6350952,4677583
6350952,4571269
6350952,IR967840
6350952,IR973035
6350952,2376650
6350952,8185679
6350952,3505430
6350952,4344425
6350952,9640689
6350952,4833621
6350952,IR973724
6350952,3744427
6350952,6478272
6350952,6820887
6350952,IR972958
6350952,5917917
6350952,5329736
6350952,3491907
6350952,1518868
6350952,9162944
6350952,IR972932
6350952,8796724
6350952,6114754
6350952,5380905
6350952,8886751
6350952,9327237
6350952,2107349
6350952,6242084
6350952,9782112
6350952,5257790
6350952,9271341
6350952,6964114
6350952,8127919
6350952,1654217
6350952,2671963
6350952,9525006
6350952,1998529
6350952,7508552
6350952,IR971875
6350952,7544812
6350952,2935462
6350952,4270571
6350952,6143378
6350952,3143503
6350952,3604680
6350952,7686758
6350952,9458357
6350952,2345686
6350952,7518097
6350952,4282893
6350952,6273108
6350952,4866068
IR978174,3287108
IR978174,4501385
IR978174,5965894
IR978174,4868629
IR978174,6680808
IR978174,1957163
IR978174,8572961
IR978174,IR979306
IR978174,6552595
IR978174,5235457
IR978174,9825943
IR978174,6455053
IR978174,2142216
IR978174,4717418
IR978174,5727719
IR978174,3792339
IR978174,1576381
IR978174,9028170
IR978174,6138728
IR978174,2160665
IR978174,7101369
IR978174,6835475
IR978174,5261611
IR978174,3867861
IR978174,3183081
IR978174,7239080
IR978174,4832495
IR978174,IR979397
IR978174,7385129
IR978174,3313655
IR978174,7530305
IR978174,8527916
IR978174,3234843
IR978174,9789804
IR978174,7241934
IR978174,8308659
IR978174,8966609
IR978174,IR956400
IR978174,3929459
IR978174,8660285
IR978174,8383513
IR978174,5730705
IR978174,IR955847
IR978174,3714339
IR978174,7821402
IR978174,6719949
IR978174,5888410
IR978174,2269467
IR978174,5689489
IR978174,IR957161
IR978174,5960390
IR978174,1957981
IR978174,8496305
IR978174,1857476
IR978174,6321775
IR978174,8239606
IR978174,7531066
IR978174,2858375
IR978174,IR956142
IR978174,1514568
IR978174,5450957
IR978174,6222411
IR978174,2272846
IR978174,4478531
IR978174,9800225
IR978174,1920110
IR978174,6604492
IR978174,7621259
IR978174,2554608
IR978174,5568598
IR978174,IR957498
IR978174,7592535
IR978174,9855052
IR978174,7372725
IR978174,1689973
IR978174,4400621
IR978174,5743027
