Listing Id 1,Listing Id 2
6005572,4717418
6005572,1669923
6005572,1984078
6005572,7821402
6005572,6242331
6005572,7797453
6005572,2620614
6005572,7739537
6005572,2338029
6005572,7132005
6005572,5893753
6005572,8469559
6005572,6736869
6005572,7817574
6005572,9357255
6005572,4189547
6005572,IR972932
6005572,7006663
6350952,IR955847
6350952,4309202
6350952,6822972
6350952,9782112
6350952,4282893
IR978174,3287108
IR978174,8703453
IR978174,7279403
IR978174,8383513
IR978174,1957981
IR978174,2858375
IR978174,3614088
IR978174,7785361
IR978174,4094648
IR978174,5477177
IR978174,7327211
IR978174,9384816
IR978174,6628960
IR978174,7174247
IR978174,9308837
IR978174,2818530
IR978174,1505114
IR978174,3692317
IR978174,7479660
IR978174,5966112
IR978174,9320630
IR978174,6360923
IR978174,6871117
IR978174,6175019
IR978174,3326415
IR978174,8374785
IR978174,8577349
IR978174,4813491
IR978174,2644766
IR978174,4677583
IR978174,IR972958
IR978174,5917917
IR978174,5329736
IR978174,8796724
IR978174,8886751
IR978174,2671963
IR978174,7544812
IR978174,2935462
IR978174,3604680
IR978174,6385485
IR978174,4866068
3287108,4501385
3287108,6138728
3287108,8703453
3287108,7170323
3287108,5893795
3287108,8383513
3287108,3714339
3287108,2858375
3287108,3614088
3287108,7785361
3287108,4094648
3287108,7544212
3287108,7327211
3287108,6628960
3287108,7174247
3287108,2480503
3287108,8236453
3287108,7281594
3287108,9308837
3287108,9332346
3287108,2818530
3287108,3909585
3287108,2456427
3287108,1505114
3287108,3692317
3287108,3514617
3287108,7479660
3287108,9320630
3287108,6360923
3287108,6871117
3287108,9747735
3287108,3326415
3287108,8374785
3287108,8577349
3287108,4813491
3287108,2644766
3287108,4677583
3287108,IR973724
3287108,3744427
3287108,IR972958
3287108,5917917
3287108,5329736
3287108,8886751
3287108,7544812
3287108,2935462
3287108,3604680
3287108,4866068
4501385,5965894
4501385,4868629
4501385,6680808
4501385,5235457
4501385,5727719
4501385,6138728
4501385,7170323
4501385,5893795
4501385,3714339
4501385,2269467
4501385,1857476
4501385,2858375
4501385,IR956142
4501385,1514568
4501385,6604492
4501385,9855052
4501385,3614088
4501385,7785361
4501385,6504391
4501385,4094648
4501385,4737519
4501385,7544212
4501385,4820257
4501385,7327211
4501385,3865941
4501385,6339702
4501385,2941353
4501385,2480503
4501385,8236453
4501385,2956955
4501385,7281594
4501385,9308837
4501385,9332346
4501385,6894963
4501385,2818530
4501385,8014499
4501385,3909585
4501385,2456427
4501385,7672518
4501385,3692317
4501385,3399550
4501385,3514617
4501385,7479660
4501385,IR965801
4501385,8980826
4501385,6360923
4501385,2604145
4501385,6871117
4501385,9747735
4501385,3326415
4501385,9861262
4501385,6451879
4501385,8374785
4501385,8577349
4501385,6379199
4501385,4813491
4501385,2644766
4501385,9932302
4501385,4677583
4501385,IR973724
4501385,3744427
4501385,IR972958
4501385,5917917
4501385,5329736
4501385,8886751
4501385,9525006
4501385,1998529
4501385,2935462
4501385,3604680
4501385,7686758
4501385,4866068
5965894,4868629
5965894,6680808
5965894,1957163
5965894,5235457
5965894,5727719
5965894,6138728
5965894,7170323
5965894,5893795
5965894,3714339
5965894,2269467
5965894,IR957161
5965894,5960390
5965894,1857476
5965894,2858375
5965894,IR956142
5965894,1514568
5965894,6604492
5965894,9855052
5965894,7785361
5965894,6504391
5965894,4737519
5965894,4428336
5965894,7544212
5965894,4820257
5965894,7327211
5965894,3865941
5965894,6339702
5965894,2941353
5965894,2480503
5965894,8236453
5965894,2956955
5965894,9348176
5965894,7281594
5965894,9332346
5965894,6894963
5965894,2818530
5965894,8014499
5965894,3909585
5965894,2456427
5965894,7672518
5965894,3399550
5965894,3514617
5965894,IR965801
5965894,8980826
5965894,2604145
5965894,9747735
5965894,3326415
5965894,9861262
5965894,6451879
5965894,6379199
5965894,3680253
5965894,2644766
5965894,9932302
5965894,4677583
