Listing Id 1,Listing Id 2,Close Price 1,Close Price 2,Below Grade Finished Area 1,Below Grade Finished Area 2,Close Price Difference,Below Grade Finished Area Difference,Price to Value Ratio
5893795,7566507,525000.0,490803.0,752.0,0.0,34197.0,752.0,45.474734042553195
9314354,7279403,550000.0,580000.0,1024.0,650.0,30000.0,374.0,80.21390374331551
IR957161,1500848,462900.0,500000.0,807.0,0.0,37100.0,807.0,45.9727385377943
5960390,1500848,462900.0,500000.0,807.0,0.0,37100.0,807.0,45.9727385377943
8496305,7531066,515000.0,500000.0,925.0,386.0,15000.0,539.0,27.82931354359926
6321775,7531066,420000.0,500000.0,0.0,386.0,80000.0,386.0,207.2538860103627
6321775,7739537,420000.0,545000.0,0.0,435.0,125000.0,435.0,287.35632183908046
6321775,5893753,420000.0,530000.0,0.0,436.0,110000.0,436.0,252.29357798165137
2554608,2671963,450000.0,423200.0,575.0,638.0,26800.0,63.0,425.3968253968254
4400621,9935626,525000.0,485000.0,1196.0,0.0,40000.0,1196.0,33.44481605351171
7785361,2077952,551000.0,505000.0,725.0,900.0,46000.0,175.0,262.85714285714283
7785361,1818513,551000.0,503100.0,725.0,864.0,47900.0,139.0,344.6043165467626
IR958476,3227917,531000.0,315000.0,916.0,550.0,216000.0,366.0,590.1639344262295
3106109,3227917,531000.0,315000.0,916.0,550.0,216000.0,366.0,590.1639344262295
6504391,8127919,471000.0,400000.0,800.0,1144.0,71000.0,344.0,206.3953488372093
4094648,8843102,440000.0,505000.0,706.0,850.0,65000.0,144.0,451.3888888888889
7797453,8185679,546000.0,520500.0,475.0,1144.0,25500.0,669.0,38.11659192825112
4428336,2456427,476000.0,521000.0,803.0,750.0,45000.0,53.0,849.0566037735849
7327211,6894963,510000.0,425000.0,718.0,799.0,85000.0,81.0,1049.3827160493827
2480503,6655947,520000.0,510000.0,750.0,862.0,10000.0,112.0,89.28571428571429
1500848,IR965801,500000.0,520000.0,0.0,800.0,20000.0,800.0,25.0
1500848,8980826,500000.0,520000.0,0.0,800.0,20000.0,800.0,25.0
1500848,1610831,500000.0,510000.0,0.0,850.0,10000.0,850.0,11.764705882352942
4836480,IR965408,585000.0,581000.0,932.0,532.0,4000.0,400.0,10.0
4836480,2535842,585000.0,581000.0,932.0,532.0,4000.0,400.0,10.0
6655947,IR972958,510000.0,460000.0,862.0,706.0,50000.0,156.0,320.5128205128205
6655947,5917917,510000.0,460000.0,862.0,706.0,50000.0,156.0,320.5128205128205
9308837,8843102,521500.0,505000.0,710.0,850.0,16500.0,140.0,117.85714285714286
7739537,7406505,545000.0,535000.0,435.0,1306.0,10000.0,871.0,11.481056257175661
8366332,9935626,556000.0,485000.0,850.0,0.0,71000.0,850.0,83.52941176470588
7406505,7817574,535000.0,515000.0,1306.0,436.0,20000.0,870.0,22.988505747126435
7406505,IR972932,535000.0,520000.0,1306.0,459.0,15000.0,847.0,17.70956316410862
5555484,8469559,572000.0,455000.0,590.0,524.0,117000.0,66.0,1772.7272727272727
7479660,6175019,535000.0,515000.0,706.0,645.0,20000.0,61.0,327.8688524590164
5015255,8469559,505000.0,455000.0,0.0,524.0,50000.0,524.0,95.41984732824427
8843102,4866068,505000.0,432000.0,850.0,718.0,73000.0,132.0,553.030303030303
6175019,4813491,515000.0,455000.0,645.0,706.0,60000.0,61.0,983.6065573770492
6175019,2935462,515000.0,443800.0,645.0,706.0,71200.0,61.0,1167.2131147540983
IR967360,8127919,460000.0,400000.0,850.0,1144.0,60000.0,294.0,204.08163265306123
IR973724,3604680,480000.0,410000.0,756.0,700.0,70000.0,56.0,1250.0
3744427,3604680,480000.0,410000.0,756.0,700.0,70000.0,56.0,1250.0
