Listing Id 1,Listing Id 2,Close Price 1,Close Price 2,Below Grade Unfinished Area 1,Below Grade Unfinished Area 2,Close Price Difference,Below Grade Unfinished Area Difference,Price to Value Ratio
3234843,7566507,516500.0,490803.0,815.0,0.0,25697.0,815.0,31.530061349693252
3234843,3523029,516500.0,530000.0,815.0,308.0,13500.0,507.0,26.62721893491124
3234843,2581506,516500.0,555000.0,815.0,364.0,38500.0,451.0,85.36585365853658
3714339,7479660,455000.0,535000.0,82.0,144.0,80000.0,62.0,1290.3225806451612
3714339,4813491,455000.0,455000.0,82.0,144.0,0.0,62.0,0.0
3714339,2935462,455000.0,443800.0,82.0,144.0,11200.0,62.0,180.6451612903226
IR956142,3680253,420000.0,502000.0,0.0,201.0,82000.0,201.0,407.96019900497515
1514568,3680253,420000.0,502000.0,0.0,201.0,82000.0,201.0,407.96019900497515
7621259,9458357,495000.0,437000.0,0.0,121.0,58000.0,121.0,479.3388429752066
7029472,6655947,520000.0,510000.0,300.0,142.0,10000.0,158.0,63.29113924050633
3454886,7508552,460000.0,372500.0,575.0,0.0,87500.0,575.0,152.17391304347825
3454886,7518097,460000.0,397500.0,575.0,0.0,62500.0,575.0,108.69565217391305
5829037,3258821,510000.0,550000.0,106.0,0.0,40000.0,106.0,377.35849056603774
4820257,3680253,460000.0,502000.0,0.0,201.0,42000.0,201.0,208.955223880597
IR961487,4533182,621250.0,536000.0,1050.0,0.0,85250.0,1050.0,81.19047619047619
5015255,4295971,505000.0,420000.0,0.0,512.0,85000.0,512.0,166.015625
9931895,4571269,525000.0,495000.0,668.0,364.0,30000.0,304.0,98.6842105263158
4835429,8725802,565000.0,555000.0,476.0,0.0,10000.0,476.0,21.008403361344538
3523029,2581506,530000.0,555000.0,308.0,364.0,25000.0,56.0,446.42857142857144
9327237,2107349,420000.0,412000.0,850.0,0.0,8000.0,850.0,9.411764705882353
