Pair Number,Listing Id 1,Above Grade Finished Area 1,Close Price 1,Listing Id 2,Above Grade Finished Area 2,Close Price 2,Price Diff,Above Grade Finished Area Diff,Price Change PSF
1,3234843,1526.0,516500.0,3523029,1540.0,530000.0,13500.0,521.0,26.0
2,9789804,1442.0,477000.0,3505430,1480.0,476500.0,500.0,38.0,13.0
3,7241934,1507.0,495900.0,1827159,1191.0,535000.0,39100.0,333.0,117.0
4,7279403,2072.0,580000.0,6385485,1384.0,440000.0,140000.0,692.0,202.0
5,8308659,1004.0,460000.0,9032924,1004.0,532000.0,72000.0,0.0,0
6,8966609,1004.0,400000.0,9007173,1004.0,505000.0,105000.0,0.0,0
7,3929459,1000.0,505000.0,2858719,1000.0,565000.0,60000.0,0.0,0
8,5123851,1652.0,574900.0,8527059,1702.0,515000.0,59900.0,73.0,821.0
9,3513728,1688.0,505000.0,2748060,1672.0,520000.0,15000.0,16.0,938.0
10,8383513,1490.0,465000.0,5477177,850.0,530000.0,65000.0,720.0,90.0
11,5730705,1848.0,480000.0,5193954,1848.0,540000.0,60000.0,0.0,0
12,3714339,825.0,455000.0,4737519,850.0,515000.0,60000.0,50.0,1200.0
13,5888410,2427.0,525000.0,3803356,1834.0,535000.0,10000.0,593.0,17.0
14,2269467,1000.0,475000.0,8014499,1000.0,505000.0,30000.0,0.0,0
15,6242331,1672.0,550000.0,8469559,1488.0,455000.0,95000.0,232.0,409.0
16,5689489,1779.0,478000.0,9695808,1779.0,470000.0,8000.0,0.0,0
17,IR957161,850.0,462900.0,8671908,850.0,626000.0,163100.0,0.0,0
18,5960390,850.0,462900.0,4685315,825.0,490000.0,27100.0,86.0,315.0
19,1957981,1214.0,450900.0,6175019,825.0,515000.0,64100.0,414.0,155.0
20,1857476,1000.0,450000.0,4428336,1004.0,476000.0,26000.0,86.0,302.0
21,6321775,1240.0,420000.0,7739537,1265.0,545000.0,125000.0,460.0,272.0
22,8239606,1004.0,465000.0,6339702,1004.0,461000.0,4000.0,0.0,0
23,7531066,1264.0,500000.0,3258821,1636.0,550000.0,50000.0,436.0,115.0
24,8193556,2512.0,605000.0,7339632,1425.0,510000.0,95000.0,1135.0,84.0
25,2858375,850.0,459000.0,7327211,850.0,510000.0,51000.0,0.0,0
26,IR956142,1033.0,420000.0,3680253,1004.0,502000.0,82000.0,242.0,339.0
27,5450957,1834.0,520000.0,2564246,1834.0,545000.0,25000.0,0.0,0
28,2272846,1834.0,465000.0,3210187,1834.0,500000.0,35000.0,0.0,0
29,4478531,850.0,515000.0,7398046,850.0,490000.0,25000.0,0.0,0
30,1920110,850.0,475000.0,IR962699,887.0,510000.0,35000.0,58.0,603.0
31,6604492,1000.0,508000.0,7281594,1004.0,485000.0,23000.0,22.0,1045.0
32,7621259,1204.0,495000.0,9458357,1204.0,437000.0,58000.0,0.0,0
33,2554608,825.0,450000.0,3227917,1185.0,315000.0,135000.0,410.0,329.0
34,5568598,994.0,425000.0,IR959771,1004.0,463500.0,38500.0,20.0,1925.0
35,IR957498,1025.0,475000.0,4924481,1000.0,493000.0,18000.0,50.0,360.0
36,7592535,1256.0,497000.0,IR973035,1004.0,494000.0,3000.0,252.0,12.0
37,7372725,1144.0,430600.0,7875085,1144.0,499900.0,69300.0,0.0,0
38,4400621,1346.0,525000.0,9935626,1306.0,485000.0,40000.0,1236.0,32.0
39,5743027,1842.0,485000.0,4533182,1856.0,536000.0,51000.0,14.0,3643.0
40,4128049,850.0,445000.0,9196092,825.0,477500.0,32500.0,50.0,650.0
41,3614088,850.0,514000.0,2818530,850.0,501000.0,13000.0,0.0,0
42,6582490,850.0,475000.0,1610831,850.0,510000.0,35000.0,0.0,0
43,7785361,1041.0,551000.0,2941353,1090.0,545000.0,6000.0,104.0,58.0
44,IR958476,1144.0,531000.0,4532874,1144.0,465000.0,66000.0,0.0,0
45,2417505,2665.0,511000.0,7508552,1983.0,372500.0,138500.0,682.0,203.0
46,7690104,1780.0,523000.0,6964114,1765.0,500000.0,23000.0,15.0,1533.0
47,9623639,1834.0,556500.0,5161785,1834.0,481566.0,74934.0,0.0,0
48,7239634,850.0,492000.0,6066497,825.0,515000.0,23000.0,50.0,460.0
49,2057640,850.0,475000.0,IR965801,850.0,520000.0,45000.0,0.0,0
50,6504391,1125.0,471000.0,2956955,850.0,498000.0,27000.0,345.0,78.0
51,4094648,850.0,440000.0,9308837,850.0,521500.0,81500.0,0.0,0
52,7029472,1144.0,520000.0,6655947,1172.0,510000.0,10000.0,204.0,49.0
53,3454886,1983.0,460000.0,7518097,1983.0,397500.0,62500.0,0.0,0
54,7797453,1185.0,546000.0,7817574,1264.0,515000.0,31000.0,118.0,263.0
55,6329970,1000.0,593000.0,6822791,1000.0,495000.0,98000.0,0.0,0
56,5829037,1662.0,510000.0,2206772,1688.0,500000.0,10000.0,78.0,128.0
57,7544212,1621.0,560000.0,7672518,1000.0,512000.0,48000.0,641.0,75.0
58,2077952,1004.0,505000.0,3287735,1004.0,505000.0,0.0,0.0,0
59,5110070,1292.0,505000.0,5862741,1004.0,480000.0,25000.0,302.0,83.0
60,2620614,1252.0,431500.0,6736869,1252.0,450000.0,18500.0,0.0,0
61,6135593,1004.0,535000.0,6242084,1000.0,480000.0,55000.0,8.0,6875.0
62,9384816,1702.0,570000.0,3539117,1075.0,499000.0,71000.0,672.0,106.0
63,6628960,1288.0,536000.0,3396448,1442.0,540000.0,4000.0,189.0,21.0
64,3226464,1288.0,530000.0,5545387,1252.0,420000.0,110000.0,80.0,1375.0
65,2480503,1125.0,520000.0,8980826,850.0,520000.0,0.0,375.0,0.0
66,1500848,850.0,500000.0,2107349,816.0,412000.0,88000.0,34.0,2588.0
67,8236453,850.0,490000.0,3326415,850.0,550000.0,60000.0,0.0,0
68,3780610,1834.0,460000.0,6047783,1698.0,490000.0,30000.0,136.0,221.0
69,9332346,850.0,500000.0,IR973724,888.0,480000.0,20000.0,76.0,263.0
70,3837465,1834.0,555000.0,6273108,1779.0,450000.0,105000.0,55.0,1909.0
71,3177446,1288.0,451000.0,3375086,1480.0,452000.0,1000.0,192.0,5.0
72,6894963,888.0,425000.0,9747735,850.0,330000.0,95000.0,98.0,969.0
73,3909585,850.0,489750.0,4813491,850.0,455000.0,34750.0,0.0,0
74,7406505,1306.0,535000.0,IR972932,1325.0,520000.0,15000.0,866.0,17.0
75,2456427,1000.0,521000.0,6451879,1000.0,470000.0,51000.0,0.0,0
76,1505114,1380.0,561000.0,8577349,1100.0,500000.0,61000.0,302.0,202.0
77,3692317,850.0,461000.0,8796724,850.0,472500.0,11500.0,0.0,0
78,8971440,1480.0,504000.0,5380905,1480.0,447500.0,56500.0,0.0,0
79,3399550,850.0,485000.0,9861262,850.0,479000.0,6000.0,0.0,0
80,3514617,1125.0,495000.0,IR972958,1150.0,460000.0,35000.0,113.0,310.0
81,7479660,850.0,535000.0,3744427,888.0,480000.0,55000.0,100.0,550.0
82,3147619,1000.0,500000.0,3716150,1004.0,492000.0,8000.0,8.0,1000.0
83,7767747,1750.0,605000.0,IR967840,1874.0,535000.0,70000.0,139.0,504.0
84,4742527,1458.0,538000.0,3150528,1786.0,439000.0,99000.0,328.0,302.0
85,9931895,1489.0,525000.0,4571269,1507.0,495000.0,30000.0,322.0,93.0
86,6360923,850.0,490000.0,5329736,850.0,500000.0,10000.0,0.0,0
87,3580806,850.0,490000.0,9271341,850.0,450000.0,40000.0,0.0,0
88,2604145,850.0,475000.0,4866068,850.0,432000.0,43000.0,0.0,0
89,4805403,825.0,497000.0,4270571,1327.0,500000.0,3000.0,527.0,6.0
90,9447739,850.0,450000.0,1518868,850.0,425000.0,25000.0,0.0,0
91,4835429,1858.0,565000.0,8725802,1824.0,555000.0,10000.0,510.0,20.0
92,8665499,1850.0,475000.0,6114754,1834.0,475000.0,0.0,16.0,0.0
93,IR967360,1125.0,460000.0,8127919,1144.0,400000.0,60000.0,313.0,192.0
94,IR971782,1004.0,489900.0,5257790,1004.0,471500.0,18400.0,0.0,0
95,7737757,1004.0,480000.0,1654217,1004.0,425000.0,55000.0,0.0,0
