Pair Number,Listing Id 1,Lot Size Square Feet 1,Close Price 1,Listing Id 2,Lot Size Square Feet 2,Close Price 2,Price Diff,Lot Size Square Feet Diff,Price Change PSF
1,3234843,6632.0,516500.0,3523029,6871.0,530000.0,13500.0,746.0,18.0
2,9789804,9375.0,477000.0,3505430,8480.0,476500.0,500.0,895.0,1.0
3,7241934,6053.0,495900.0,1827159,6098.4,535000.0,39100.0,62.399999999999636,627.0
4,7279403,6070.0,580000.0,6385485,5850.0,440000.0,140000.0,224.0,625.0
5,8308659,9900.0,460000.0,9032924,9147.6,532000.0,72000.0,786.3999999999996,92.0
6,8966609,8400.0,400000.0,9007173,8400.0,505000.0,105000.0,0.0,0
7,3929459,9375.0,505000.0,2858719,15071.0,565000.0,60000.0,5796.0,10.0
8,5123851,6116.0,574900.0,8527059,7840.8,515000.0,59900.0,1747.8000000000002,34.0
9,3513728,4500.0,505000.0,2748060,5414.0,520000.0,15000.0,914.0,16.0
10,8383513,7280.0,465000.0,5477177,7875.0,530000.0,65000.0,675.0,96.0
11,5730705,7100.0,480000.0,5193954,9100.0,540000.0,60000.0,2000.0,30.0
12,3714339,7725.0,455000.0,4737519,7500.0,515000.0,60000.0,250.0,240.0
13,5888410,7000.0,525000.0,3803356,7400.0,535000.0,10000.0,400.0,25.0
14,2269467,7000.0,475000.0,8014499,7260.0,505000.0,30000.0,260.0,115.0
15,6242331,4500.0,550000.0,8469559,3500.0,455000.0,95000.0,1048.0,91.0
16,5689489,14374.8,478000.0,9695808,7560.0,470000.0,8000.0,6814.799999999999,1.0
17,IR957161,7500.0,462900.0,8671908,7000.0,626000.0,163100.0,586.0,278.0
18,5960390,7500.0,462900.0,4685315,7300.0,490000.0,27100.0,261.0,104.0
19,1957981,7000.0,450900.0,6175019,7200.0,515000.0,64100.0,225.0,285.0
20,1857476,7300.0,450000.0,4428336,7140.0,476000.0,26000.0,242.0,107.0
21,6321775,8925.0,420000.0,7739537,8550.0,545000.0,125000.0,810.0,154.0
22,8239606,7300.0,465000.0,6339702,7400.0,461000.0,4000.0,200.0,20.0
23,7531066,9000.0,500000.0,3258821,8970.0,550000.0,50000.0,94.0,532.0
24,8193556,9147.6,605000.0,7339632,9000.0,510000.0,95000.0,195.60000000000036,486.0
25,2858375,8591.0,459000.0,7327211,7400.0,510000.0,51000.0,1191.0,43.0
26,IR956142,3400.0,420000.0,3680253,4356.0,502000.0,82000.0,1169.0,70.0
27,5450957,8250.0,520000.0,2564246,7200.0,545000.0,25000.0,1050.0,24.0
28,2272846,7200.0,465000.0,3210187,8400.0,500000.0,35000.0,1200.0,29.0
29,4478531,7000.0,515000.0,7398046,6061.0,490000.0,25000.0,939.0,27.0
30,1920110,7840.8,475000.0,IR962699,7350.0,510000.0,35000.0,511.8000000000002,68.0
31,6604492,7350.0,508000.0,7281594,8100.0,485000.0,23000.0,768.0,30.0
32,7621259,7200.0,495000.0,9458357,7700.0,437000.0,58000.0,621.0,93.0
33,2554608,7000.0,450000.0,3227917,7500.0,315000.0,135000.0,550.0,245.0
34,5568598,7000.0,425000.0,IR959771,7000.0,463500.0,38500.0,0.0,0
35,IR957498,8050.0,475000.0,4924481,7405.2,493000.0,18000.0,669.8000000000002,27.0
36,7592535,7000.0,497000.0,IR973035,7500.0,494000.0,3000.0,500.0,6.0
37,7372725,7400.0,430600.0,7875085,8100.0,499900.0,69300.0,700.0,99.0
38,4400621,9030.0,525000.0,9935626,9257.0,485000.0,40000.0,1423.0,28.0
39,5743027,7875.0,485000.0,4533182,7405.0,536000.0,51000.0,470.0,109.0
40,4128049,14810.4,445000.0,9196092,6969.6,477500.0,32500.0,7865.799999999999,4.0
41,3614088,6969.6,514000.0,2818530,7500.0,501000.0,13000.0,566.3999999999996,23.0
42,6582490,7500.0,475000.0,1610831,7681.0,510000.0,35000.0,181.0,193.0
43,7785361,6200.0,551000.0,2941353,7000.0,545000.0,6000.0,855.0,7.0
44,IR958476,7500.0,531000.0,4532874,7500.0,465000.0,66000.0,0.0,0
45,2417505,9000.0,511000.0,7508552,9000.0,372500.0,138500.0,0.0,0
46,7690104,12528.0,523000.0,6964114,10125.0,500000.0,23000.0,2403.0,10.0
47,9623639,7665.0,556500.0,5161785,7875.0,481566.0,74934.0,210.0,357.0
48,7239634,7500.0,492000.0,6066497,7405.2,515000.0,23000.0,119.80000000000018,192.0
49,2057640,7000.0,475000.0,IR965801,6440.0,520000.0,45000.0,660.0,68.0
50,6504391,7840.8,471000.0,2956955,7000.0,498000.0,27000.0,910.8000000000002,30.0
51,4094648,10388.0,440000.0,9308837,9230.0,521500.0,81500.0,1166.0,70.0
52,7029472,8276.4,520000.0,6655947,7350.0,510000.0,10000.0,1102.3999999999996,9.0
53,3454886,9000.0,460000.0,7518097,9000.0,397500.0,62500.0,0.0,0
54,7797453,7910.0,546000.0,7817574,7875.0,515000.0,31000.0,74.0,419.0
55,6329970,9600.0,593000.0,6822791,8712.0,495000.0,98000.0,888.0,110.0
56,5829037,8400.0,510000.0,2206772,7438.0,500000.0,10000.0,1014.0,10.0
57,7544212,6969.6,560000.0,7672518,7767.0,512000.0,48000.0,817.3999999999996,59.0
58,2077952,6400.0,505000.0,3287735,8712.0,505000.0,0.0,2412.0,0.0
59,5110070,7000.0,505000.0,5862741,7000.0,480000.0,25000.0,0.0,0
60,2620614,3480.0,431500.0,6736869,3484.8,450000.0,18500.0,56.80000000000018,326.0
61,6135593,8400.0,535000.0,6242084,8030.0,480000.0,55000.0,374.0,147.0
62,9384816,8405.0,570000.0,3539117,8079.0,499000.0,71000.0,371.0,191.0
